지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간풍속 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),최대 순간 풍속 풍향(hhmi)
725,2014-09-12,24.4,21.3,1853.0,26.4,1150.0,7.0,9.9,3.6,,1851.0,5.0,1900.0,68.8
725,2012-03-02,9.9,8.6,1517.0,11.5,350.0,11.0,9.9,4.0,,805.0,2.0,700.0,68.4
725,2013-12-04,10.9,7.8,656.0,13.4,1251.0,0.0,9.5,4.3,,1524.0,0.0,,345.4
725,2013-10-12,18.8,16.1,2146.0,21.9,1405.0,0.0,13.1,4.3,,326.0,0.0,,337.1
725,2019-10-30,16.4,14.3,2005.0,18.2,1356.0,0.0,11.4,6.5,277.0,1533.0,,,
725,2010-11-08,13.3,9.0,2303.0,16.2,310.0,0.0,22.6,10.1,,2358.0,0.0,,315.8
725,2015-01-12,4.6,2.5,715.0,7.0,1413.0,0.0,13.8,4.9,344.4,135.0,0.0,,
725,2017-04-20,14.7,10.7,119.0,18.7,1407.0,0.0,4.4,1.6,206.5,,,,
725,2018-10-26,18.5,16.4,0.0,21.3,1146.0,1.5,10.9,3.4,33.6,2356.0,,,
725,2020-06-07,19.5,16.8,2314.0,22.8,1422.0,0.0,4.5,2.1,60.3,20.0,,,
725,2010-03-09,5.3,0.0,2246.0,8.4,1123.0,6.5,26.4,7.9,,2330.0,1.5,2100.0,319.5
725,2015-06-29,22.0,18.2,404.0,26.2,1340.0,0.0,7.2,2.2,91.8,940.0,0.0,,
725,2021-04-15,13.4,10.1,332.0,17.1,1554.0,0.0,7.6,3.4,314.7,230.0,,,
725,2015-10-12,18.0,15.3,435.0,20.5,1326.0,0.0,12.3,6.1,331.3,1409.0,0.0,,
725,2020-09-05,21.7,19.4,1352.0,24.3,510.0,25.5,15.9,5.7,60.7,2257.0,,,
725,2015-09-27,23.5,20.9,200.0,26.2,1329.0,0.0,9.0,3.8,85.8,1341.0,0.0,,
725,2017-08-27,26.3,22.1,232.0,29.6,1408.0,0.0,3.9,1.7,85.3,,,,
725,2013-12-21,5.2,3.0,305.0,7.3,1420.0,0.0,15.2,7.3,,58.0,0.0,,337.6
725,2013-07-06,23.2,21.8,138.0,24.4,905.0,5.0,7.7,1.7,,1837.0,1.0,100.0,207.1
725,2015-09-06,23.8,21.0,41.0,26.4,1437.0,7.0,17.4,5.8,76.0,133.0,4.0,100.0,
725,2013-03-02,3.9,1.7,307.0,6.6,1437.0,0.0,17.4,8.7,,808.0,0.0,,350.1
725,2016-09-09,24.2,22.2,551.0,26.5,1402.0,0.0,5.8,3.5,292.2,,,,
725,2021-03-05,12.0,10.7,517.0,13.7,1501.0,0.5,13.4,6.4,30.7,110.0,,,
725,2018-06-26,25.3,23.4,137.0,27.6,1303.0,0.0,9.0,4.3,216.6,1854.0,,,
725,2019-04-03,11.1,8.9,2305.0,14.4,1331.0,0.0,7.5,3.7,277.4,2206.0,,,
