지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),평균 풍속(m/s),최대 순간 풍속 풍향(deg),최대 순간풍속 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),최대 순간 풍속 풍향(hhmi)
725,2010-12-03,8.2,6.5,2022.0,14.0,23.0,0.0,23.7,12.8,,1254.0,0.0,,324.7
725,2014-01-04,7.1,4.5,2212.0,10.7,1.0,0.0,13.3,7.3,,1531.0,0.0,,322.5
725,2021-06-23,22.7,20.0,450.0,25.1,1233.0,0.0,5.4,2.3,108.3,1737.0,,,
725,2016-07-07,25.3,22.2,3.0,29.0,1451.0,0.0,3.8,1.6,134.1,,,,
725,2016-03-27,9.9,7.3,557.0,12.8,1404.0,0.0,14.1,5.6,321.1,,,,
725,2015-07-13,25.9,21.4,542.0,31.4,1412.0,0.0,10.3,2.9,241.6,307.0,0.0,,
725,2020-07-24,22.6,20.7,2029.0,26.3,1135.0,0.5,15.5,6.9,255.6,1659.0,,,
725,2011-04-14,13.0,6.8,239.0,17.0,1450.0,0.0,11.3,3.8,,1518.0,0.0,,185.7
725,2018-11-01,13.8,11.7,14.0,15.3,1242.0,0.0,7.2,3.9,12.3,321.0,,,
725,2012-03-24,7.9,6.6,643.0,9.4,1403.0,0.0,19.7,10.5,,1120.0,0.0,,334.1
725,2011-02-21,9.0,7.8,737.0,10.4,1413.0,0.0,14.1,7.0,,912.0,0.0,,35.1
725,2017-03-13,10.9,8.7,435.0,12.9,1028.0,0.5,6.0,2.9,306.7,,,,
725,2012-08-06,28.0,25.6,543.0,30.9,1447.0,0.0,7.7,3.1,,1041.0,0.0,,91.5
725,2010-07-18,24.3,21.8,444.0,26.5,1445.0,0.0,10.4,4.3,,310.0,,,192.6
725,2018-03-15,15.5,12.0,2328.0,17.3,1151.0,63.5,8.9,3.3,177.8,800.0,,,
725,2021-06-17,20.8,20.2,2151.0,21.7,1019.0,0.0,13.8,6.2,52.5,341.0,,,
725,2012-02-15,6.8,5.0,2307.0,8.2,1121.0,0.5,13.0,6.7,,2358.0,0.5,800.0,342.6
725,2014-03-12,14.1,8.5,17.0,16.4,1142.0,19.0,11.0,3.8,,1911.0,7.5,2200.0,200.6
725,2019-09-12,24.0,22.7,2332.0,25.4,1309.0,0.5,8.6,5.2,59.0,1624.0,,,
725,2017-03-09,9.2,6.7,1.0,12.3,1435.0,0.0,9.0,4.9,337.0,,,,
725,2017-01-10,6.4,5.4,2355.0,7.8,1433.0,0.0,10.7,6.5,333.5,,,,
725,2017-04-19,14.1,10.7,2342.0,16.6,1131.0,0.0,6.3,3.6,312.5,,,,
725,2017-11-14,15.1,12.2,2342.0,17.2,1240.0,0.0,6.6,4.1,323.0,,,,
725,2013-03-24,9.2,5.9,2358.0,12.0,1016.0,0.0,15.4,6.2,,2349.0,0.0,,323.0
725,2017-01-27,6.5,4.2,2159.0,10.7,739.0,0.0,8.7,4.4,334.2,,,,
725,2019-08-03,27.2,23.9,517.0,29.9,1208.0,0.0,3.2,1.3,113.1,1457.0,,,
725,2016-10-03,24.8,22.5,2354.0,28.9,1141.0,0.5,4.7,1.8,200.4,,,,
725,2017-04-25,18.5,16.2,606.0,21.8,1144.0,0.0,4.9,1.9,198.2,,,,
725,2011-10-14,18.3,17.1,2330.0,21.6,3.0,54.0,14.0,4.0,,2245.0,16.5,500.0,309.5
725,2021-05-16,20.7,17.7,2358.0,23.1,1235.0,9.5,13.9,5.5,185.8,856.0,,,
725,2021-01-19,4.3,1.6,654.0,6.7,2347.0,0.0,15.4,6.2,317.3,6.0,,,
725,2018-05-28,18.3,17.5,305.0,20.3,1340.0,18.0,4.2,1.8,87.8,2006.0,,,
725,2019-11-04,18.3,16.0,351.0,20.0,921.0,2.5,11.0,5.7,31.2,728.0,,,
725,2016-04-28,13.8,12.1,2354.0,15.8,1425.0,5.0,8.2,3.6,315.7,,,,
725,2021-04-23,17.1,15.4,2339.0,19.9,1311.0,0.0,14.8,7.9,61.4,855.0,,,
725,2021-03-01,14.2,8.5,2258.0,17.1,1120.0,11.5,18.4,9.0,151.8,1430.0,,,
725,2011-04-21,13.9,8.7,334.0,17.7,1408.0,0.0,12.4,4.2,,1231.0,0.0,,191.7
725,2020-01-23,11.6,10.7,1458.0,14.1,7.0,0.5,11.1,5.3,284.9,1526.0,,,
725,2016-01-14,6.2,4.9,114.0,7.8,1150.0,0.0,13.7,5.7,327.3,,,,
725,2017-04-18,15.2,12.0,416.0,21.3,1329.0,0.0,8.8,3.5,306.4,,,,
725,2019-06-22,20.8,18.4,501.0,23.5,1403.0,0.0,4.9,2.4,73.1,1501.0,,,
725,2013-08-15,29.0,25.1,214.0,33.7,1409.0,0.0,6.7,1.9,,1232.0,0.0,,170.3
725,2010-03-10,1.2,-2.6,803.0,3.7,2302.0,0.5,30.8,13.6,,108.0,0.5,1300.0,325.2
725,2019-01-08,6.3,4.0,2128.0,8.7,1131.0,0.0,10.1,5.7,301.3,1510.0,,,
725,2019-04-07,15.5,11.9,228.0,21.3,1421.0,1.0,7.2,2.2,302.3,1514.0,,,
725,2018-08-14,28.1,25.4,645.0,31.6,1316.0,0.0,2.8,1.1,154.2,1.0,,,
725,2012-02-03,0.9,-2.4,1.0,3.8,1443.0,0.0,12.4,6.4,,20.0,0.0,,3.5
725,2016-10-11,19.3,18.6,1828.0,20.6,1226.0,0.0,5.5,3.3,44.9,,,,
725,2014-09-15,23.9,22.1,621.0,26.6,1201.0,0.0,8.3,3.6,,9.0,0.0,,55.1
725,2010-07-26,26.1,23.3,421.0,29.0,1425.0,0.5,8.8,2.8,,1415.0,0.5,600.0,173.4
725,2018-03-16,9.4,8.0,2349.0,12.1,5.0,1.5,10.3,5.7,65.0,1243.0,,,
725,2018-09-20,24.3,22.7,1.0,25.8,822.0,30.0,6.1,2.3,93.0,2228.0,,,
725,2016-10-12,19.9,18.9,146.0,22.1,1205.0,0.0,5.9,2.5,27.1,,,,
725,2010-01-25,5.1,1.7,2237.0,8.4,340.0,0.0,21.6,9.7,,1240.0,0.0,,325.1
725,2011-09-03,22.8,21.2,443.0,25.1,1327.0,0.0,13.4,6.2,,52.0,0.0,,306.8
725,2019-06-30,22.0,20.8,503.0,24.4,1147.0,0.0,8.9,2.6,277.5,3.0,,,
725,2016-12-25,11.5,8.0,248.0,13.9,2316.0,7.5,5.6,2.2,29.9,,,,
725,2016-09-13,24.2,22.5,255.0,26.5,1416.0,0.0,4.3,2.6,12.6,,,,
725,2015-03-05,5.2,2.0,143.0,8.0,1301.0,0.0,14.1,4.1,257.9,2.0,0.0,,
725,2019-01-21,6.7,4.0,110.0,8.7,1445.0,0.0,10.5,5.8,292.6,129.0,,,
725,2013-12-30,8.2,4.5,11.0,10.7,1240.0,0.0,11.6,5.2,,1325.0,0.0,,290.9
725,2020-10-16,17.4,14.7,2039.0,19.9,1052.0,5.0,10.5,5.2,339.8,1519.0,,,
725,2021-11-28,14.4,12.7,6.0,16.3,1204.0,0.0,9.0,4.3,126.0,308.0,,,
725,2020-10-09,20.2,18.9,226.0,21.3,1907.0,0.0,17.7,9.4,21.1,716.0,,,
725,2013-12-13,6.9,4.8,2223.0,10.4,207.0,0.0,16.2,8.2,,1534.0,0.0,,324.5
725,2015-07-17,23.6,20.8,522.0,28.4,1117.0,0.0,6.4,2.4,171.9,2319.0,0.0,,
725,2020-01-04,8.6,7.1,641.0,10.4,1415.0,0.0,13.7,7.8,291.2,1900.0,,,
725,2013-04-28,18.2,12.7,133.0,23.2,1314.0,0.0,9.4,3.2,,2057.0,0.0,,158.3
725,2018-01-26,-1.3,-2.6,1002.0,-0.3,1429.0,0.0,11.9,6.9,325.2,458.0,,,
725,2021-05-15,22.4,18.8,335.0,27.0,1425.0,19.0,12.0,4.4,173.4,2342.0,,,
725,2017-07-02,26.4,24.6,31.0,29.7,1428.0,0.0,7.7,3.5,207.3,,,,
725,2013-04-19,13.1,9.3,229.0,17.4,1342.0,0.0,15.0,5.2,,26.0,0.0,,334.0
725,2020-03-25,15.6,12.8,1.0,18.4,1309.0,1.0,9.3,4.9,88.9,854.0,,,
725,2019-04-02,10.9,9.3,604.0,13.0,1236.0,0.0,6.9,4.0,283.4,2148.0,,,
725,2016-10-20,20.7,19.2,2.0,22.0,2130.0,0.0,6.9,2.6,86.8,,,,
725,2016-11-19,17.7,16.9,2137.0,19.7,1.0,1.0,6.6,3.8,304.5,,,,
725,2013-09-13,27.0,23.8,549.0,31.3,1223.0,0.0,8.1,1.9,,1126.0,0.0,,205.0
725,2020-09-27,21.6,19.3,348.0,24.0,1411.0,1.5,11.5,6.9,24.7,949.0,,,
725,2013-10-18,19.8,18.1,12.0,22.4,1347.0,0.0,11.1,5.2,,950.0,0.0,,77.1
725,2010-02-14,4.7,2.6,1.0,6.3,1414.0,0.0,11.7,4.3,,2151.0,0.0,,27.8
725,2019-11-06,16.5,14.9,552.0,18.9,1432.0,0.0,12.0,4.5,296.4,303.0,,,
725,2020-03-18,13.9,9.9,733.0,17.6,1320.0,0.0,10.9,4.3,152.8,1532.0,,,
725,2016-04-14,15.1,13.3,1912.0,19.9,1509.0,0.0,11.0,5.4,339.2,,,,
725,2019-09-08,23.7,22.7,1803.0,24.9,938.0,24.0,6.5,2.0,131.4,406.0,,,
725,2020-06-11,21.7,19.2,443.0,25.2,1231.0,0.5,9.7,2.7,279.9,1002.0,,,
725,2012-07-26,27.2,23.4,536.0,30.6,1507.0,0.0,5.7,1.3,,1359.0,0.0,,160.2
725,2011-04-12,10.9,7.5,531.0,13.5,1247.0,0.0,13.8,5.8,,22.0,0.0,,317.8
725,2017-10-09,23.3,21.1,2258.0,26.2,1303.0,0.0,3.2,1.6,52.2,,,,
725,2020-09-26,22.1,19.6,154.0,24.2,1325.0,0.0,8.0,4.0,52.6,546.0,,,
725,2020-02-28,10.4,9.0,1704.0,11.3,2159.0,3.0,11.9,6.0,57.8,2328.0,,,
725,2013-07-27,27.4,24.3,121.0,31.0,1324.0,0.0,7.2,1.5,,2330.0,0.0,,210.6
725,2014-11-10,13.8,11.6,2301.0,16.8,1420.0,0.0,8.4,3.4,,14.0,0.0,,340.3
725,2012-06-03,20.1,17.9,425.0,23.1,1525.0,0.0,7.9,2.8,,1108.0,0.0,,79.7
725,2021-09-17,23.5,22.4,1914.0,25.5,201.0,72.5,23.9,10.9,10.2,858.0,,,
725,2010-07-06,23.3,21.8,455.0,26.9,1648.0,0.0,10.2,4.9,,908.0,0.0,,323.3
725,2016-06-17,21.5,18.7,625.0,24.3,1535.0,0.0,5.5,2.1,312.2,,,,
725,2019-09-02,24.5,22.3,1.0,27.2,1648.0,90.0,9.4,2.6,147.6,722.0,,,
725,2017-10-16,19.1,18.1,1609.0,20.6,1302.0,11.0,9.3,5.7,61.8,,,,
725,2011-05-05,15.2,13.3,354.0,17.3,1255.0,0.0,9.4,3.8,,1910.0,0.0,,131.8
725,2016-12-28,5.7,3.9,32.0,7.7,1309.0,0.0,9.2,4.0,340.0,,,,
725,2013-08-29,28.4,25.4,539.0,31.3,1443.0,15.5,12.6,4.0,,1625.0,8.5,600.0,248.3
725,2013-11-22,10.0,8.4,2318.0,11.9,1422.0,0.0,11.8,6.2,,711.0,0.0,,336.8
725,2014-06-17,18.4,17.4,755.0,19.9,22.0,47.0,10.9,3.6,,1636.0,7.5,1000.0,100.0
725,2015-02-01,4.7,1.6,427.0,7.6,1350.0,0.0,9.1,4.5,317.8,1644.0,0.0,,
725,2012-09-17,19.7,18.5,814.0,20.6,1634.0,91.0,28.1,12.5,,817.0,17.5,600.0,323.6
725,2011-01-07,2.1,1.0,736.0,2.8,1341.0,0.0,18.5,10.3,,458.0,0.0,,340.2
725,2016-11-27,11.3,10.4,2332.0,12.1,1445.0,0.5,8.2,4.9,11.8,,,,
725,2020-02-19,7.9,4.8,419.0,10.9,1439.0,0.0,12.3,5.1,295.6,4.0,,,
725,2010-01-05,2.0,0.8,821.0,4.8,28.0,0.0,21.6,12.2,,229.0,0.0,,309.1
725,2017-12-13,3.4,2.4,4.0,4.9,1226.0,0.0,9.6,5.9,334.9,,,,
725,2014-02-09,3.7,2.4,2200.0,5.4,31.0,0.0,15.0,7.7,,712.0,0.0,,212.0
725,2011-01-14,4.8,2.8,1.0,6.7,1444.0,0.0,13.6,5.7,,2202.0,0.0,,341.2
725,2014-05-20,17.8,16.8,1626.0,19.6,139.0,45.0,10.8,4.0,,2215.0,9.5,700.0,335.5
725,2018-01-18,8.7,7.1,2308.0,9.9,527.0,0.0,6.9,4.2,316.2,350.0,,,
725,2015-11-12,18.3,16.8,349.0,20.7,1410.0,0.5,12.5,5.8,94.9,2211.0,0.5,2400.0,
725,2013-09-03,23.5,21.5,1611.0,25.1,256.0,2.0,11.3,4.7,,2101.0,1.0,1600.0,35.3
725,2014-08-16,23.5,21.4,550.0,26.4,1607.0,0.0,7.1,2.5,,755.0,0.0,,337.9
725,2018-05-04,14.8,11.2,333.0,19.0,1253.0,0.0,6.3,3.3,314.5,1534.0,,,
725,2019-03-09,12.7,6.4,505.0,16.3,1219.0,15.0,8.1,2.8,87.6,2353.0,,,
725,2013-09-08,22.9,19.8,346.0,26.1,1423.0,0.0,6.0,2.1,,1022.0,0.0,,35.9
725,2021-06-25,23.4,20.7,528.0,25.8,1243.0,0.0,6.0,2.8,99.3,1334.0,,,
725,2012-01-15,6.2,5.0,525.0,7.4,2354.0,0.0,8.6,3.5,,243.0,0.0,,6.4
725,2020-12-01,8.7,6.3,628.0,11.4,1241.0,0.0,12.9,5.0,230.8,47.0,,,
725,2014-09-26,23.3,20.0,211.0,26.3,1154.0,0.0,9.7,3.8,,1412.0,0.0,,73.8
725,2020-12-29,10.5,3.7,2359.0,14.2,955.0,3.5,20.5,6.3,299.8,2301.0,,,
725,2018-01-17,9.4,8.1,910.0,11.6,445.0,2.5,8.3,4.3,330.4,1449.0,,,
725,2014-12-11,8.1,5.1,2235.0,10.5,1131.0,4.5,14.9,7.2,,1107.0,1.5,100.0,337.2
725,2021-08-14,23.6,22.2,916.0,25.4,115.0,50.5,16.8,7.9,5.8,837.0,,,
725,2014-01-09,0.7,-1.1,2345.0,3.7,45.0,0.0,18.3,9.4,,123.0,0.0,,333.9
725,2011-07-25,25.9,22.1,600.0,28.5,1456.0,0.0,10.7,3.9,,2328.0,0.0,,164.7
725,2019-09-19,23.5,20.7,241.0,25.0,1223.0,0.0,7.2,4.1,43.6,905.0,,,
725,2017-04-17,16.3,12.1,2048.0,18.7,1201.0,19.0,11.8,4.4,308.8,,,,
725,2014-01-24,11.1,3.4,21.0,15.7,1434.0,0.0,10.8,3.2,,1133.0,0.0,,256.4
725,2016-08-02,28.4,25.7,335.0,32.4,1239.0,0.0,4.8,1.4,190.1,,,,
725,2016-01-10,7.9,6.3,435.0,10.5,1334.0,0.0,8.0,4.1,4.9,,,,
725,2010-08-19,26.9,25.0,609.0,29.2,1233.0,0.0,6.6,2.2,,934.0,0.0,,68.6
725,2014-12-14,5.9,4.5,629.0,7.2,1507.0,0.5,12.5,4.5,,222.0,0.5,700.0,332.0
725,2018-06-01,19.0,15.8,39.0,22.6,1511.0,0.0,4.1,2.3,301.7,20.0,,,
725,2011-09-12,23.7,21.2,249.0,26.4,1539.0,0.0,4.8,2.1,,749.0,0.0,,329.5
725,2020-02-08,6.5,4.2,2350.0,8.5,1300.0,0.0,16.8,10.8,292.3,1323.0,,,
725,2011-03-12,10.7,7.3,716.0,14.3,1421.0,0.0,10.8,3.6,,1547.0,0.0,,182.0
725,2019-12-16,14.9,13.6,2343.0,16.5,1159.0,0.5,9.8,4.5,64.9,11.0,,,
725,2016-07-18,24.4,22.3,128.0,26.1,1529.0,0.0,2.3,0.9,327.3,,,,
725,2012-08-23,24.2,23.1,1606.0,25.1,450.0,287.5,11.5,2.3,,1926.0,60.5,800.0,167.4
725,2010-05-31,16.0,14.4,517.0,17.7,1457.0,0.0,11.7,5.7,,702.0,0.0,,60.4
725,2019-03-10,11.6,10.4,2328.0,13.5,1.0,18.5,9.9,5.7,51.3,1027.0,,,
725,2018-09-02,25.0,22.7,401.0,29.0,1431.0,0.0,8.7,2.9,78.3,58.0,,,
725,2018-07-02,23.9,21.7,2134.0,26.6,1347.0,0.0,5.6,2.4,165.2,1049.0,,,
725,2020-07-02,21.1,17.8,430.0,24.9,1309.0,0.0,4.7,1.9,254.5,15.0,,,
725,2016-05-02,19.1,16.3,212.0,21.6,845.0,3.5,13.2,3.6,165.5,,,,
725,2018-11-24,14.6,9.7,101.0,18.4,1143.0,0.0,6.7,3.0,182.3,1057.0,,,
725,2021-09-30,23.1,22.0,754.0,24.1,2017.0,5.0,12.0,5.3,3.3,1558.0,,,
725,2017-01-06,12.2,11.7,436.0,13.6,1253.0,0.0,10.0,5.2,79.3,,,,
725,2017-02-19,9.4,0.2,551.0,13.9,2338.0,0.0,11.7,3.7,221.9,,,,
725,2010-10-31,15.1,13.5,711.0,16.8,954.0,0.0,16.2,6.8,,2128.0,0.0,,332.0
725,2017-06-30,23.9,20.3,155.0,27.9,1500.0,0.0,5.3,1.9,204.3,,,,
725,2015-03-09,7.1,1.3,2338.0,11.1,1.0,5.5,20.2,8.8,329.9,1601.0,2.0,300.0,
725,2015-10-29,16.5,13.2,557.0,19.3,1603.0,0.0,7.1,1.5,206.9,3.0,0.0,,
725,2018-06-21,21.8,20.1,255.0,24.9,1527.0,0.0,6.1,3.4,302.2,949.0,,,
725,2019-10-19,19.9,18.0,38.0,22.3,1254.0,1.0,9.5,5.8,287.1,1633.0,,,
725,2020-11-22,13.7,11.6,2353.0,17.2,3.0,0.0,16.2,7.5,273.4,2359.0,,,
725,2010-09-01,26.4,24.2,1519.0,28.1,1130.0,10.0,23.2,9.1,,2156.0,2.5,1600.0,175.0
725,2018-10-10,17.6,15.5,2359.0,19.7,31.0,2.5,8.7,4.1,335.1,1829.0,,,
725,2016-02-24,2.8,1.7,541.0,5.6,1333.0,0.0,15.1,8.8,330.4,,,,
725,2012-12-12,4.9,3.6,352.0,7.2,1447.0,0.0,12.2,5.0,,657.0,0.0,,16.5
725,2011-03-28,9.1,6.2,601.0,12.1,959.0,0.0,12.5,5.1,,1001.0,0.0,,321.4
725,2016-07-31,28.3,25.5,231.0,31.4,1243.0,0.0,2.7,0.8,40.9,,,,
725,2014-08-04,25.1,23.3,1.0,27.8,1503.0,2.5,8.8,1.9,,116.0,1.5,200.0,208.1
725,2015-03-19,11.9,10.2,2058.0,13.8,1654.0,2.5,10.2,3.1,58.8,634.0,1.0,300.0,
725,2012-05-25,16.8,14.8,356.0,19.8,1455.0,11.0,4.5,1.3,,1236.0,2.5,200.0,15.5
725,2013-06-27,21.2,19.3,103.0,23.6,1040.0,2.0,4.2,1.3,,1751.0,0.5,1600.0,94.5
725,2010-10-04,18.1,16.8,538.0,19.8,1403.0,0.0,16.9,9.1,,232.0,0.0,,320.2
725,2018-01-29,1.6,-0.1,2314.0,3.6,1434.0,0.0,10.7,6.1,326.0,1239.0,,,
725,2017-06-06,19.6,18.0,1204.0,20.8,1752.0,17.5,10.0,4.1,170.7,,,,
725,2021-09-13,24.4,22.8,1951.0,26.1,203.0,41.5,17.9,9.1,76.8,1937.0,,,
725,2012-03-18,8.2,5.9,2343.0,10.0,1120.0,1.0,16.4,8.0,,1418.0,1.0,200.0,329.6
725,2020-01-19,8.6,6.0,11.0,10.2,1540.0,0.0,14.0,8.4,283.1,1704.0,,,
725,2013-10-31,17.7,14.3,136.0,19.8,1242.0,0.0,8.7,3.2,,458.0,0.0,,305.3
725,2016-07-01,24.2,22.4,451.0,25.5,858.0,2.0,9.5,3.3,205.4,,,,
725,2021-02-21,16.4,10.6,10.0,21.7,1210.0,0.0,13.8,5.9,157.8,2146.0,,,
725,2019-06-07,19.4,17.5,2307.0,22.8,10.0,0.0,11.8,5.6,274.0,1058.0,,,
725,2010-03-05,11.1,9.6,758.0,12.9,1725.0,22.5,13.0,4.5,,2204.0,10.0,1800.0,35.2
725,2013-01-21,12.6,9.1,2400.0,16.0,1237.0,38.5,13.6,4.6,,2400.0,13.0,800.0,300.8
725,2014-03-21,8.0,6.3,52.0,10.2,1441.0,0.0,15.3,8.4,,312.0,0.0,,338.8
725,2012-03-26,6.7,4.2,603.0,9.5,1428.0,0.0,13.4,6.6,,11.0,0.0,,317.5
725,2018-08-05,28.7,26.1,456.0,31.6,1338.0,0.0,4.9,2.3,309.3,2349.0,,,
725,2010-02-22,11.1,6.0,25.0,15.3,1459.0,0.0,5.9,1.5,,324.0,0.0,,240.5
725,2015-02-10,6.4,3.1,2.0,9.8,1411.0,0.0,12.7,6.4,317.1,308.0,0.0,,
725,2010-03-25,7.6,5.1,2359.0,9.6,1.0,4.5,22.8,10.2,,2330.0,2.5,300.0,350.3
725,2012-10-25,19.3,14.8,53.0,23.0,1405.0,0.0,6.1,1.5,,1340.0,0.0,100.0,122.0
725,2017-02-27,8.0,4.9,538.0,10.9,1526.0,0.0,5.5,2.7,11.8,,,,
725,2014-05-26,20.0,17.9,2315.0,23.8,1304.0,0.0,11.2,4.6,,508.0,0.0,,306.7
725,2014-04-01,14.2,10.5,608.0,18.7,1339.0,0.0,5.7,1.7,,1454.0,0.0,,101.4
725,2011-11-04,21.5,19.9,2307.0,23.5,1143.0,10.0,14.9,4.8,,2339.0,4.5,2400.0,142.2
725,2012-12-11,4.9,3.9,6.0,6.6,1120.0,0.0,12.8,6.7,,834.0,0.0,,352.2
725,2017-06-18,21.0,17.4,337.0,25.9,1341.0,0.0,4.2,1.7,333.1,,,,
725,2016-12-17,8.4,4.7,146.0,11.5,1347.0,0.0,6.4,2.5,329.8,,,,
725,2020-12-24,10.5,7.6,2313.0,13.6,224.0,0.0,17.3,8.6,299.5,1556.0,,,
725,2011-09-15,24.7,22.3,2355.0,27.2,1433.0,0.0,6.2,2.1,,1028.0,0.0,,31.0
725,2018-11-13,14.1,12.9,31.0,15.8,1340.0,0.0,5.5,3.5,249.1,852.0,,,
725,2021-08-27,27.6,25.3,10.0,30.6,1306.0,0.0,11.3,4.8,181.8,1402.0,,,
725,2010-12-16,3.0,0.7,135.0,4.8,2154.0,0.0,15.6,7.4,,348.0,0.0,,357.0
725,2015-06-25,21.6,20.9,1.0,22.3,2305.0,18.0,8.7,3.0,163.9,2115.0,8.0,2400.0,
725,2019-04-13,13.8,9.5,612.0,17.4,1301.0,0.0,4.3,1.3,157.0,1448.0,,,
725,2013-02-15,5.3,1.3,2345.0,7.8,1255.0,0.5,15.6,8.3,,1849.0,0.5,200.0,342.5
725,2013-10-05,23.4,21.8,644.0,25.5,1213.0,2.0,12.8,6.3,,2019.0,1.0,2200.0,75.4
725,2013-11-29,7.9,2.8,246.0,9.5,2359.0,4.0,16.0,7.4,,4.0,2.0,200.0,310.2
725,2021-03-14,11.5,8.7,511.0,14.4,1325.0,0.0,10.8,5.9,303.7,849.0,,,
725,2017-12-11,5.9,2.8,2159.0,9.3,5.0,0.5,12.6,6.2,333.1,,,,
725,2016-03-05,16.6,14.7,2245.0,19.0,1409.0,97.0,12.2,4.0,167.7,,,,
725,2016-11-18,19.2,17.4,324.0,20.7,2135.0,8.0,6.8,2.8,233.1,,,,
725,2021-12-07,12.3,10.5,223.0,13.8,1338.0,0.0,12.8,7.0,356.3,533.0,,,
725,2018-11-26,15.7,12.0,107.0,17.4,1807.0,0.0,3.8,1.6,87.3,848.0,,,
725,2019-10-18,19.3,18.7,523.0,21.0,201.0,7.0,14.1,8.4,25.8,807.0,,,
725,2010-06-27,20.6,19.3,1042.0,21.6,2355.0,45.5,12.5,3.5,,145.0,5.0,1400.0,214.2
725,2013-06-29,22.4,19.6,1.0,25.6,1507.0,0.0,6.1,2.3,,803.0,0.0,,76.3
725,2020-10-21,19.2,16.3,1954.0,23.5,1134.0,49.5,11.3,5.1,296.8,1755.0,,,
725,2019-06-13,19.9,16.9,224.0,22.7,1240.0,0.0,4.1,1.9,62.1,1024.0,,,
725,2015-04-23,15.1,9.8,2224.0,21.8,1638.0,0.0,5.8,1.8,310.0,21.0,0.0,,
725,2015-03-04,3.5,2.4,502.0,6.0,1.0,0.0,17.4,10.2,336.2,824.0,0.0,,
725,2013-09-24,24.7,22.6,504.0,28.0,1217.0,0.0,5.1,1.9,,1131.0,0.0,,90.4
725,2017-10-20,19.6,17.7,612.0,21.1,1314.0,0.0,7.0,4.1,64.6,,,,
725,2020-06-09,22.6,18.1,2.0,26.6,1342.0,0.0,7.1,3.0,102.8,1431.0,,,
725,2015-04-25,16.8,11.3,2356.0,25.4,1414.0,0.0,9.5,2.5,327.4,29.0,0.0,,
725,2013-08-19,28.8,25.3,439.0,33.5,1308.0,16.5,9.4,1.1,,424.0,11.5,500.0,166.3
725,2012-07-27,27.1,23.7,452.0,30.4,1526.0,0.0,5.6,1.4,,1157.0,0.0,,186.2
725,2015-07-03,21.9,18.1,222.0,25.8,1532.0,0.0,7.4,3.0,336.0,906.0,0.0,,
725,2018-01-22,8.5,6.8,531.0,11.0,137.0,8.5,10.4,3.5,314.6,2357.0,,,
725,2017-09-05,24.1,23.0,745.0,24.9,217.0,1.0,5.8,2.2,136.6,,,,
725,2019-08-04,26.6,23.7,2301.0,29.7,1404.0,0.0,3.3,1.3,67.1,1122.0,,,
725,2013-04-03,10.5,7.2,1.0,15.1,1405.0,0.0,15.7,6.7,,313.0,0.0,,329.3
725,2018-06-22,21.7,19.6,300.0,25.2,1327.0,1.0,4.1,1.6,294.2,4.0,,,
725,2021-12-31,4.3,2.6,2338.0,6.5,3.0,0.0,18.6,10.1,8.4,356.0,,,
725,2010-10-15,16.5,14.0,2317.0,18.0,1349.0,0.0,13.2,6.8,,554.0,0.0,,333.5
725,2013-06-01,16.9,15.5,847.0,19.2,1234.0,0.5,5.8,1.9,,2249.0,0.5,900.0,315.3
725,2011-12-05,9.5,7.3,549.0,12.1,2222.0,0.0,11.3,4.0,,343.0,0.0,,304.0
725,2017-08-03,28.7,27.0,211.0,31.1,1412.0,0.0,5.7,3.3,87.0,,,,
725,2017-06-10,21.9,18.8,105.0,25.8,1205.0,1.5,4.8,2.2,196.6,,,,
725,2013-01-14,7.2,5.0,2332.0,8.6,1248.0,0.0,15.7,7.9,,1515.0,0.0,,344.6
725,2017-12-17,4.0,2.4,551.0,5.5,2150.0,0.0,10.0,5.3,353.1,,,,
725,2011-11-28,18.1,15.0,118.0,20.3,1154.0,0.0,5.2,2.0,,46.0,0.0,,310.1
725,2020-05-17,16.1,13.4,449.0,19.9,1616.0,0.0,7.3,3.3,139.9,1707.0,,,
725,2011-10-07,17.1,15.5,611.0,19.1,1543.0,0.0,12.9,6.1,,434.0,0.0,,333.9
725,2021-02-22,13.5,8.5,2353.0,20.8,1228.0,0.0,18.3,7.9,287.1,2142.0,,,
725,2015-05-05,13.8,10.2,2358.0,17.9,1444.0,0.0,13.0,4.9,339.3,220.0,0.0,,
725,2020-02-14,13.5,11.3,153.0,16.0,1257.0,0.0,4.5,2.1,323.8,344.0,,,
725,2019-07-23,25.4,23.5,758.0,29.3,1302.0,0.0,6.2,2.8,134.5,1535.0,,,
725,2021-05-21,17.1,15.3,2351.0,19.6,1549.0,0.0,14.1,7.3,267.1,329.0,,,
725,2019-08-07,28.5,25.6,435.0,32.5,1331.0,0.0,4.0,1.8,143.8,1320.0,,,
725,2016-02-03,4.2,1.9,44.0,6.3,1304.0,0.0,13.7,6.8,338.5,,,,
725,2014-03-10,5.3,2.8,727.0,8.5,1355.0,0.0,13.6,6.2,,30.0,0.0,,349.2
725,2016-08-24,28.1,26.6,552.0,30.3,1145.0,0.0,5.2,3.4,75.4,,,,
